Institution ID,Number of Pell grant recipients,Number of undergraduates
170532,256,1379
170541,5190,11149
170550,1448,6002
170587,1053,1807
170611,163,255
170620,2088,4548
170639,1072,2582
170657,8141,18524
170675,566,3065
170736,56,131
170790,5454,23729
170806,1144,3206
170842,672,954
170967,452,1164
170976,4392,27979
171012,125,259
171100,8916,37354
171128,1498,5611
171137,3002,6984
171146,3158,6984
171155,2422,4694
171225,1521,4071
171234,1363,2011
171261,127,157
171298,3007,4460
171304,2192,5067
171313,576,878
171322,1155,1428
171395,1661,2757
171456,3261,8474
171465,44,66
171483,2002,4846
171492,1015,3027
171535,9922,27296
171571,3764,16190
171599,510,1116
171775,56,113
171881,188,316
171988,134,243
171997,256,468
172015,345,594
172033,34,264
172051,3572,8765
172200,4747,12532
172264,1011,2328
172291,1818,4547
172307,1406,2639
172325,450,1193
172334,1373,3058
172422,88,242
172440,369,571
172495,178,273
172608,426,1019
172617,4670,12476
172635,11889,18176
172644,9292,19342
172671,744,1470
172699,7731,19478
172802,65,68
172866,90,152
172918,928,2992
172927,95,204
172954,1068,2184
172963,3184,9497
173045,1248,2877
173063,1325,3527
173115,542,1181
173124,1691,4754
173142,243,598
173160,927,3433
173203,1585,4481
173258,253,2055
173300,633,2609
173328,632,1786
173416,1288,3711
173452,261,742
173461,2125,5422
173470,28,49
173489,172,247
173559,2882,6786
173629,634,1081
173638,1302,3467
173647,626,2526
173665,795,2064
173683,0,1
173708,2956,6587
173726,35,53
173735,775,1318
173744,329,1051
173799,2103,6114
173805,623,1262
173887,783,1437
173902,356,2070
173911,1617,3904
173920,3944,13574
173939,146,220
173966,17,204
173984,546,1196
173993,640,1478
174020,3187,7669
174066,7478,34469
174075,660,2764
174118,234,344
174127,234,599
174136,5775,10091
174154,215,346
174190,151,267
174206,107,157
174233,2515,10346
174251,556,1896
174279,652,1173
174321,96,214
174358,2128,6421
174376,3437,7752
174385,407,529
174394,263,427
174428,3552,9854
174437,521,1309
174473,1455,4080
174482,13,41
174491,860,3086
174507,34,113
174525,88,143
174534,122,186
174570,519,1031
174604,117,381
174738,2457,6275
174747,495,2070
174756,2256,4751
174765,108,145
174783,4687,15250
174792,361,1854
174817,625,1985
174844,473,3176
174862,531,1088
174899,871,2849
174914,1276,6309
174978,154,220
175005,1519,3663
175014,3176,5755
175041,4117,6746
175078,1044,6560
175120,403,635
175157,272,772
175227,660,1131
175236,1727,4068
175263,1160,2301
175272,2255,8397
175315,5085,10476
175342,2540,3208
175421,1330,2603
175430,266,502
175494,86,178
175519,2119,2305
175528,399,523
175573,2020,3436
175591,53,65
175607,66,108
175616,1358,2756
175643,1591,2624
175652,3163,4697
175698,22,22
175722,27,59
175786,7628,11952
175810,3743,6282
175829,3743,5949
175856,4323,6675
175883,2123,4158
175935,2054,3751
175980,184,843
176008,2264,3119
176017,4778,16060
176026,144,627
176035,1235,2503
176044,1496,2168
176053,1109,3042
176062,36,100
176071,5066,10099
176080,5597,16390
176169,2209,3407
176178,4730,8224
176239,2746,4809
176318,818,934
176336,46,52
176354,1323,2083
176372,6343,13658
176390,137,278
176406,826,972
176479,1536,2327
176549,180,242
176628,574,1325
176637,470,659
176664,160,321
176716,66,157
176770,383,776
176789,120,264
176798,137,306
176910,181,333
176947,515,1173
176965,3693,9683
176983,66,108
176992,9,30
177038,35,79
177056,44,114
177065,8946,16940
177083,33,110
177117,113,292
177135,2602,5576
177144,368,769
177214,4421,4775
177250,1902,4043
177287,183,362
177302,368,708
177339,876,1879
177418,517,1342
177436,19,36
177472,8643,15123
177542,477,1249
177551,1121,1484
177579,231,394
177588,51,69
177603,64,124
177676,2586,5494
177685,46,59
177719,145,637
177746,330,822
177816,3,40
177870,7,15
177931,46,65
177940,1630,3013
177968,2920,8296
177977,505,1212
177986,14,96
177995,7200,20141
178004,111,178
178059,1006,2980
178077,85,209
178110,121,133
178183,132,264
178208,119,249
178217,2027,3784
178226,368,477
178244,793,3675
178262,129,236
178305,399,502
178314,30,46
178341,3247,5351
178350,38,117
178369,790,1704
178387,2503,5885
178396,5823,26960
178402,3405,10614
178411,1511,5841
178420,4048,13335
178448,2757,5776
178466,98,159
178484,277,502
178527,63,76
178606,8,20
178615,1113,5872
178624,2139,6014
178679,327,723
178697,846,1372
178721,3289,10247
178767,126,171
178828,51,71
178891,1423,2061
178989,37,309
179043,375,2160
179052,105,233
179070,273,314
179159,1770,12513
179195,39,71
179201,554,791
179229,29,47
179238,45,65
179256,142,246
179265,147,714
179308,12736,26603
179326,1281,3009
179344,327,2102
179399,12,30
179450,73,262
179511,700,841
179539,2855,5115
179548,399,673
179557,3705,10413
179566,5576,17434
179645,2905,4651
179715,757,1786
179724,20,30
179867,447,7259
179894,1226,3502
179919,291,860
179946,310,1090
179955,290,1052
179964,343,1007
179991,28,56
180054,406,407
180063,48,63
180081,376,786
180090,91,148
180106,317,1463
180151,119,312
180160,225,361
180179,1752,4473
180197,1023,2395
180203,152,156
180212,157,438
180249,1044,1835
180258,410,974
180276,789,1627
180328,181,323
180373,193,441
180391,41,58
180416,669,1860
180461,4008,12679
180489,4952,12657
180522,594,1209
180595,376,1007
180647,766,906
180692,628,1483
180771,41,55
180814,1878,6266
180832,307,813
180878,218,610
180902,2147,7288
180948,788,2359
180957,95,213
180984,332,1481
181002,770,4032
181020,389,1149
181093,182,371
181127,339,1085
181136,0,44
181145,3,18
181190,214,455
181215,1944,5648
181242,329,443
181297,250,715
181303,5765,17376
181312,800,2591
181330,476,1097
181376,94,137
181394,3947,12136
181400,464,569
181419,98,150
181428,194,853
181446,486,1808
181464,3781,19103
181491,1511,5251
181534,702,2130
181543,0,39
181604,334,782
181640,4269,10168
181738,283,796
181756,128,406
181765,107,331
181783,1198,3020
181792,0,9
181817,792,2230
181853,233,472
181880,146,256
181941,688,867
182005,10666,35633
182111,704,1085
182148,679,934
182209,526,645
182281,7516,22429
182290,4350,15082
182306,850,3138
182397,343,493
182430,185,295
182458,224,598
182500,3763,11603
182564,1712,4161
182634,472,1407
182652,52,105
182661,216,590
182670,572,4193
182704,62,144
182722,73,196
182795,424,1737
182865,1750,2927
182892,48,80
182908,33,130
182953,122,220
182980,500,1116
182999,36,82
183026,4508,11110
183035,30,42
183044,2865,12804
183062,1176,4926
183071,206,833
183080,1143,4238
183099,1617,4340
183105,442,848
183114,481,1058
183123,545,1230
183132,1002,2808
183141,708,2281
183150,701,2203
183202,10,33
183211,430,1559
183239,327,1954
183248,48,134
183257,852,1724
183275,43,95
183488,392,512
183600,0,43
183655,3826,7523
183725,505,806
183743,5547,17015
183789,1979,2878
183804,1982,2696
183822,1363,2124
183859,4093,14637
183877,2959,10071
183910,683,1591
183938,5396,13460
183974,559,2037
183983,51,159
184047,97,172
184056,777,1093
184092,774,960
184135,829,1083
184144,90,183
184153,21,42
184180,2310,8679
184205,2149,3944
184278,92,252
184320,1923,1927
184348,479,1636
184357,11,27
184427,247,398
184481,7026,11979
184506,135,210
184603,1715,6788
184612,834,1775
184694,789,2411
184746,205,276
184773,692,1619
184782,3220,10707
184791,2297,6762
184816,120,180
184870,439,606
184959,561,1119
184968,56,153
184995,5902,9398
185129,3695,6587
185174,41,89
185262,5279,12895
185332,485,739
185396,1203,1806
185466,137,343
185509,1964,8873
185536,4961,12898
185572,1261,4738
185590,5377,14432
185624,34,84
185651,50,115
185679,131,387
185721,484,866
185730,91,142
185767,151,339
185828,2772,7111
185873,2881,10049
185916,286,324
185970,111,282
186016,195,554
186034,5465,9782
186052,802,1388
186131,649,5327
186186,83,213
186201,1406,5624
186274,167,344
186283,1191,4549
186335,48,112
186371,2038,4708
186380,9810,31593
186399,3555,7666
186405,2,16
186423,0,63
186432,1204,2317
186469,554,1283
186584,1599,5504
186593,144,254
186618,407,1079
186645,1901,8398
186867,553,2548
186876,2679,7516
186900,52,67
187000,186,371
187046,2305,19596
187134,1178,6545
187161,643,1276
187198,5274,12146
187444,3994,10089
187505,1397,1855
187532,11605,28263
187596,1167,1777
187602,117,172
187620,5048,9270
187639,1365,3672
187648,1880,4583
187666,1219,4193
187745,155,393
187897,1361,2407
187903,603,3136
187912,151,490
187958,1841,2825
187967,462,1565
187976,213,710
187985,8783,22838
187994,1669,3173
188003,753,2060
188021,652,1141
188030,6198,14276
188049,1389,2382
188058,924,1601
188100,2823,9463
188137,1755,4956
188146,230,544
188182,179,323
188216,286,488
188225,776,1705
188261,253,672
188289,67,111
188304,1331,2849
188340,1171,1799
188429,1506,5103
188438,1586,3987
188465,518,750
188517,582,722
188526,237,1070
188641,736,1935
188650,822,890
188669,18,98
188678,88,221
188687,140,411
188696,25,180
188854,544,1301
188890,1623,2472
188915,33,70
188942,105,133
188988,400,589
189088,385,2022
189097,461,2504
189219,247,400
189228,3086,4864
189264,31,43
189273,24,38
189282,62,287
189404,196,329
189413,1015,1176
189422,622,682
189459,1346,2021
189468,131,234
189477,310,340
189547,2873,5952
189556,313,427
189565,360,481
189574,602,709
189583,769,868
189592,312,415
189653,48,73
189705,988,3280
189714,137,446
189811,264,520
189839,1907,4314
189848,440,990
189857,500,643
189954,66,71
190008,17,78
190044,864,3072
190053,835,2249
190071,28,88
190099,329,2850
190114,704,910
190150,1683,7814
190169,869,2126
190239,248,363
190248,430,830
190293,148,205
190309,44,74
190318,335,648
190372,151,855
190415,2333,14261
190442,1879,4966
190451,116,334
190503,727,2827
190512,6203,13777
190521,16973,24537
190530,8200,11287
190549,6308,13099
190558,5964,13364
190567,6586,12983
190576,317,1247
190585,4388,6455
190594,6846,16708
190600,7171,13167
190619,9247,18934
190628,9321,19287
190637,5010,9577
190646,4028,6540
190655,9468,16207
190664,6163,16187
190673,7416,15711
190691,4525,8381
190707,6,23
190716,761,2139
190725,748,2206
190752,0,81
190761,692,1595
190770,768,2540
190840,2593,10478
190956,67,129
190974,377,390
190983,482,1386
191083,6048,13990
191126,2339,9848
191199,2689,6539
191205,355,841
191241,1700,8325
191287,188,953
191302,1375,2683
191311,11,351
191339,2564,6965
191515,259,1884
191533,503,1558
191597,155,356
191612,1764,3463
191621,487,1033
191630,423,2292
191649,1556,6893
191676,431,1147
191719,3876,13114
191728,1083,1585
191764,83,127
191834,311,895
191931,838,3457
191940,34,49
191959,84,122
191968,1219,6281
191986,2119,5057
192004,235,294
192022,1898,3841
192040,0,172
192110,91,622
192156,240,340
192165,99,111
192192,971,2617
192271,462,1477
192323,889,2749
192439,3061,5069
192448,1457,8315
192484,126,267
192509,521,565
192563,14,30
192624,114,146
192688,729,875
192703,934,3226
192712,59,372
192749,609,1750
192785,366,903
192800,27,31
192819,896,5560
192828,79,88
192864,505,1941
192925,909,1844
192961,42,113
192970,2,13
193016,4539,8029
193052,55,142
193061,23,34
193070,33,65
193122,118,211
193186,113,146
193201,651,826
193247,84,173
193265,73,107
193283,3806,7451
193292,1142,3444
193308,5131,6627
193326,8526,17296
193353,764,2286
193380,52,129
193399,878,1592
193478,8089,23340
193584,643,2095
193609,4,68
193645,2493,3301
193654,1601,6799
193672,80,118
193760,962,1683
193788,0,285
193858,355,389
193900,4470,22498
193946,2727,6735
193973,915,3138
193991,38,81
194028,608,2327
194091,1786,4796
194116,83,494
194161,1131,2040
194189,55,83
194222,3199,13018
194240,1911,7257
194259,28,44
194310,2965,8336
194392,462,1065
194435,107,192
194499,651,766
194541,926,2071
194569,161,350
194578,841,3207
194611,871,1090
194657,30,143
194666,219,273
194675,14,30
194693,10,44
194718,0,32
194736,37,93
194763,56,258
194824,880,5300
194879,248,370
194958,541,1236
194967,675,725
195003,4289,13711
195030,1067,5785
195058,2514,8174
195067,825,1372
195128,808,1741
195164,551,1908
195173,1223,2834
195191,129,298
195216,440,2398
195234,1057,2881
195243,423,1796
195289,56,148
195304,276,1420
195322,2296,6671
195438,45,157
195474,715,3201
195492,16,61
195526,389,2660
195544,1524,4821
195623,0,51
195687,96,193
195702,11,25
195720,949,2960
195784,383,747
195793,18,31
195809,4883,15840
195845,363,705
195933,947,1328
195988,866,1615
196006,1795,3528
196015,2112,3780
196024,1524,3151
196033,1205,2492
196042,2136,7889
196051,1816,3095
196060,4825,12878
196079,3324,12356
196088,5579,19677
196097,5563,15837
196103,456,1704
196112,651,1693
196121,2911,7133
196130,4478,9747
196149,1705,6345
196158,1830,5231
196167,1220,5376
196176,1839,6573
196185,1676,5837
196194,2798,7151
196200,1689,3868
196219,1312,4128
196237,1988,4217
196246,2013,5706
196255,72,352
196264,3948,11118
196291,373,1614
196307,87,302
196389,176,426
196413,3962,14798
196431,269,353
196440,5,19
196477,3074,3603
196565,1877,5450
196583,61,191
196592,4189,7216
196653,817,1523
196680,1887,37707
196699,1000,3681
196857,1419,2611
196866,349,2241
197018,1422,1589
197027,75,987
197045,1126,2950
197081,236,355
197133,529,2406
197142,307,411
197151,900,3672
197197,348,1828
197221,6,79
197230,258,532
197285,787,1127
197294,4903,13997
197337,85,186
197522,487,554
197531,271,540
197601,101,112
197610,64,144
197647,46,99
197674,179,233
197692,9,77
197708,513,2835
197735,384,441
197744,97,163
197814,1035,2597
197832,990,1308
197850,1618,2591
197869,4069,15712
197887,3468,8061
197911,552,1114
197966,1032,1948
197984,787,1706
197993,508,707
198011,974,1393
198039,927,2412
198066,263,633
198075,135,194
198084,638,1515
198109,177,488
198118,2191,4476
198136,1693,4589
198154,4179,9154
198190,41,89
198206,1314,1681
198215,569,1323
198233,2071,4786
198242,135,249
198251,2135,4927
198260,8036,19498
198303,878,1308
198321,1723,3398
198330,2263,4556
198367,1438,3278
198376,3438,4100
198385,235,1790
198419,909,6655
198455,2311,5368
198464,6839,21298
198491,1993,3056
198507,1940,2760
198516,488,5357
198525,44,58
198534,7436,12584
198543,3105,5287
198552,4689,9253
198561,635,2677
198570,2811,6027
198598,434,1075
198613,1229,2462
198622,9391,14748
198640,1107,1510
198668,1187,2278
198677,64,71
198695,514,4067
198710,1307,2555
198729,1015,1550
198747,147,277
198756,1158,1669
198774,1995,4216
198808,410,837
198817,1445,2970
198835,697,1544
198844,75,159
198862,927,1111
198871,507,690
198899,1033,1351
198905,410,778
198914,717,1354
198923,676,1316
198941,36,141
198950,585,1662
198969,842,2157
198978,1832,2116
198987,1553,3439
198996,3,38
199005,12,24
199014,54,54
199023,362,841
199032,290,704
199069,1859,3714
199078,146,188
199087,1575,3367
199102,5245,8923
199111,1177,3693
199120,3799,18503
199139,8568,21179
199148,6666,15039
199157,4228,6658
199184,238,760
199193,5581,24833
199209,1033,1522
199218,3499,12387
199263,184,570
199272,523,731
199281,2944,5504
199306,445,1013
199315,93,236
199324,935,1812
199333,4678,9037
199412,612,1869
199421,1496,2894
199449,1694,2523
199458,105,150
199467,604,898
199476,2150,3047
199485,1056,2254
199494,5364,6764
199582,1092,1465
199607,533,945
199625,861,1513
199634,1890,4189
199643,1603,2031
199689,117,252
199698,196,470
199713,151,188
199722,1023,1722
199731,1380,2612
199740,2117,2988
199759,0,533
199768,1456,3444
199786,2465,4706
199795,910,1487
199838,1874,4075
199847,553,4801
199856,7377,20440
199865,282,852
199883,58,129
199892,2817,3822
199908,1911,2602
199926,1405,2651
199953,914,1865
199962,678,1773
199971,53,116
199980,78,91
199999,3000,5245
200004,3043,7979
200013,575,1000
200022,972,4109
200059,430,1837
200086,68,205
200110,71,93
200129,45,77
200156,262,943
200165,77,135
200192,324,1974
200208,176,247
200217,506,2142
200226,294,990
200244,31,109
200253,764,3298
200262,7,11
200280,2494,11953
200305,900,3066
200314,223,773
200332,2698,11988
200341,177,808
200387,31,106
200466,198,277
200484,164,227
200527,391,532
200554,290,527
200572,321,1214
200590,144,161
200624,19,27
200633,182,232
200785,351,423
200800,9179,22123
200828,35,48
200846,794,2085
200873,26,46
201016,258,266
201034,175,1275
201061,80,192
201098,111,174
201104,927,3240
201131,120,176
201140,0,110
201159,104,492
201177,164,343
201195,1168,3508
201283,1074,1616
201371,418,1077
201399,362,413
201432,1097,2397
201441,5081,14815
201469,591,729
201478,77,170
201496,237,538
201539,80,125
201548,805,2720
201584,31,40
201609,31,44
201618,36,47
201627,49,70
201645,879,4386
201654,669,3219
201672,2232,3747
201681,86,155
201690,1603,2116
201751,305,437
201803,120,186
201821,154,370
201858,330,677
201867,48,111
201885,6140,23096
201928,4880,10614
201946,1597,3635
201955,2056,4949
201964,1754,3085
201973,2887,5640
201982,52,88
202046,246,556
202055,256,332
202073,38,251
202134,5129,11808
202152,190,201
202161,338,540
202170,517,1387
202189,154,255
202222,10763,25863
202356,13948,29701
202435,227,284
202453,87,89
202480,955,8042
202514,426,917
202523,424,2339
202639,80,117
202648,1360,3070
202657,205,416
202684,665,738
202736,139,164
202763,784,3902
202806,2759,5831
202888,27,81
202903,144,310
202912,162,335
202949,184,393
202985,64,128
203030,150,225
203085,476,1110
203128,531,1293
203146,196,502
203155,2654,4581
203225,417,476
203234,121,217
203289,49,59
203313,305,387
203331,1401,2560
203368,805,2949
203386,955,1415
203438,152,256
203447,1218,2049
203456,535,974
203465,2228,4141
203474,1348,2210
203483,1141,2282
203492,798,1523
203517,7422,21554
203526,631,1547
203535,171,1667
203544,352,900
203580,383,935
203599,3667,9283
203614,357,536
203678,1951,3883
203720,367,410
203739,355,395
203748,5862,12656
203757,1209,2113
203775,757,1897
203845,429,1421
203881,1130,2729
203942,35,189
203960,630,1205
204006,1714,3615
204015,974,2092
204024,2342,15081
204060,202,225
204121,89,92
204158,273,641
204176,227,886
204185,691,2175
204194,746,1756
204200,580,1840
204255,1639,2930
204264,736,1738
204307,374,530
204316,583,701
204334,80,142
204422,1466,2886
204431,32,35
204440,1857,3308
204459,166,220
204468,634,1815
204486,2068,4108
204501,314,2930
204592,69,106
204608,845,1373
204617,738,2127
204626,435,709
204635,631,2629
204662,232,612
204671,489,1067
204680,566,1204
204699,518,1224
204705,968,2301
204714,180,245
204723,215,244
204769,100,221
204778,156,235
204796,9576,43058
204802,297,1087
204820,1246,2291
204839,1069,2127
204848,971,2575
204857,5307,22685
204866,823,1970
204884,171,209
204893,59,94
204909,396,1819
204936,646,2537
204945,7226,16973
204963,83,147
204981,88,139
205027,10,132
205054,210,303
205090,55,94
205124,32,53
205142,152,204
205179,2453,3137
205203,1456,2201
205391,48,114
205443,2535,4554
205470,8587,19537
205513,130,136
205522,89,122
205531,95,128
205559,52,57
205568,122,155
205610,1092,1320
205647,726,888
205708,258,266
205726,182,210
205841,9400,15655
205887,676,848
205957,554,2097
205966,1608,2686
206002,138,163
206011,1624,3187
206039,72,93
206048,3537,5728
206084,6400,16877
206093,229,526
206154,35,60
206172,86,216
206181,84,184
206224,218,235
206279,745,1225
206321,116,1374
206330,558,1582
206349,372,879
206358,34,41
206394,104,188
206437,756,2286
206446,854,1866
206482,365,395
206491,432,525
206507,580,1295
206525,496,1881
206589,403,2080
206604,5322,13143
206613,394,1104
206622,818,4478
206631,413,508
206695,6446,12591
206783,26,41
206817,1050,1111
206835,464,1103
206862,888,1654
206880,87,146
206905,99,144
206914,2707,5571
206923,1187,2613
206932,137,175
206941,5376,15379
206969,23,25
206996,1301,2324
207041,1844,3804
207050,363,1921
207069,858,2573
207087,35,68
207102,116,159
207157,108,201
207166,14,14
207209,1432,1998
207236,1656,2646
207254,638,996
207263,3718,7548
207272,64,65
207281,1421,5006
207290,1457,2526
207306,876,2097
207324,511,1888
207342,258,875
207351,623,1368
207388,5923,20323
207397,3183,7590
207403,633,1903
207449,6025,14176
207458,412,2069
207500,5258,21109
207537,48,56
207564,1503,3933
207582,1223,2782
207607,93,712
207625,349,390
207661,2254,4774
207670,3194,7956
207689,278,663
207704,117,183
207722,457,985
207740,959,2185
207786,30,33
207847,1778,3722
207856,435,667
207865,1685,4297
207935,7987,19557
207962,965,1673
207971,492,3160
208017,8,61
208026,100,245
208035,696,5259
208044,32,53
208053,32,233
208080,79,79
208123,103,127
208187,0,121
208239,875,1550
208248,93,194
208275,959,2910
208318,3657,7132
208390,5851,12371
208406,2606,7630
208415,397,1070
208433,49,102
208479,692,1552
208488,614,1369
208512,196,426
208637,140,319
208646,1963,3845
208655,201,222
208725,128,222
208822,795,2184
208859,65,75
208965,471,725
209038,7198,12236
209056,441,2038
209065,424,1663
209074,2251,6028
209083,82,146
209108,428,817
209153,106,116
209205,70,235
209241,20,77
209250,4533,9847
209287,298,503
209348,26,40
209409,226,456
209490,262,825
209506,1434,3960
209533,83,154
209542,7281,21808
209551,5379,20809
209603,223,446
209612,540,1717
209667,73,86
209676,151,203
209694,89,98
209700,197,235
209719,49,62
209746,14939,33767
209807,9152,22770
209825,738,3372
209922,246,1432
209940,3064,5556
209986,42,55
210076,1007,1366
210100,103,126
210146,2233,5793
210155,1047,1960
210234,1800,2688
210270,1478,2526
210304,294,551
210331,318,955
210340,108,145
210359,262,315
210401,435,2101
210429,2387,5385
210438,30,60
210456,79,233
210474,111,140
210483,343,494
210492,86,243
210571,896,2199
210599,539,764
210605,8070,19567
210669,561,2140
210711,102,108
210739,658,2468
210748,57,99
210775,812,2347
210784,86,197
210809,0,26837
210890,85,174
210906,308,554
210942,1684,2853
210951,159,249
210960,1136,1942
211006,316,524
211024,400,758
211079,1048,2531
211088,795,2359
211149,38,258
211158,2794,9201
211200,321,465
211273,246,1322
211291,375,3536
211307,2407,10234
211316,39,107
211334,23,78
211343,1418,3873
211352,441,1432
211361,2541,6681
211398,98,129
211431,696,1955
211440,811,5921
211468,578,1359
211477,794,1408
211556,270,922
211583,777,1581
211608,942,1224
211617,495,1187
211635,92,192
211644,2141,5518
211750,200,319
211802,75,213
211820,150,170
211893,20,125
211909,124,167
211927,3771,13051
211981,533,1945
212009,290,2386
212045,142,259
212054,3209,15876
212072,62,80
212090,446,586
212106,1180,5832
212115,1925,6355
212133,1105,2701
212160,2776,6090
212197,410,1885
212212,42,74
212230,32,64
212267,149,244
212276,100,178
212285,51,86
212294,43,87
212300,60,86
212328,137,220
212337,184,237
212355,166,312
212373,64,131
212382,159,274
212391,122,213
212425,201,237
212434,177,236
212452,2,26
212568,126,195
212577,335,2365
212601,958,3008
212656,600,1552
212674,365,2600
212683,72,136
212708,152,232
212753,207,352
212771,2,37
212805,0,2506
212832,745,2223
212869,928,1562
212878,9333,21945
212911,181,1205
212975,132,238
212984,761,2139
212993,55,98
213002,531,938
213011,644,2883
213020,4806,13275
213163,38,76
213181,566,738
213215,178,274
213233,239,452
213251,339,1558
213303,748,1670
213312,162,194
213321,647,2218
213330,14,41
213349,2887,9135
213358,514,1341
213367,1625,4516
213376,918,1522
213385,265,2488
213400,471,1150
213455,117,370
213473,212,451
213491,28,84
213507,398,1744
213525,2454,7323
213534,788,1026
213543,719,4883
213552,103,115
213570,782,1052
213589,472,592
213598,1080,1680
213613,1947,4968
213622,46,123
213659,2701,6579
213668,442,1354
213686,54,62
213774,414,926
213783,1241,2824
213826,767,2174
213914,163,337
213932,86,136
213987,874,2770
213996,572,2798
214023,81,82
214041,2337,7424
214069,702,2427
214111,3545,13645
214148,209,482
214157,479,1582
214166,731,1706
214175,190,2422
214254,985,1327
214272,1036,2674
214290,965,1374
214379,4447,11018
214476,4,69
214528,569,882
214546,63,89
214582,422,763
214591,1283,4065
214625,241,715
214634,316,578
214643,207,617
214652,574,1234
214670,324,907
214689,1286,3863
214698,277,759
214704,934,2743
214713,1184,3426
214731,538,1581
214740,324,704
214759,420,867
214768,483,1060
214777,6931,39192
214786,319,635
214795,430,1106
214801,1457,3506
214810,458,867
214829,363,1155
214838,217,251
214883,1223,2261
214892,300,382
214944,571,833
214962,41,79
214971,87,211
215008,43,115
215026,9,25
215044,111,265
215053,96,245
215062,1655,11678
215099,874,2888
215105,608,1909
215114,412,928
215132,469,1782
215239,11503,18962
215266,687,1518
215275,896,1723
215284,896,2932
215293,3144,18429
215309,216,388
215336,37,59
215381,110,324
215390,88,240
215415,1230,1791
215433,316,380
215442,1329,3169
215479,33,61
215530,31,58
215585,2890,4791
215594,157,431
215637,195,376
215646,249,941
215655,1448,4178
215682,382,521
215691,282,524
215743,446,1991
215770,725,5342
215798,456,1566
215886,64,151
215929,814,4041
215947,610,1925
215974,110,310
215983,23,50
215992,243,286
216010,2028,6712
216038,2531,7860
216047,12,98
216074,17,197
216083,451,689
216162,37,98
216223,31,76
216278,498,2215
216287,219,1552
216296,504,870
216311,32,120
216339,9407,28068
216357,485,1059
216366,208,902
216418,904,1090
216427,62,85
216436,209,265
216445,78,165
216454,114,172
216524,362,1680
216542,417,971
216551,104,248
216579,56,193
216597,821,7100
216630,66,143
216649,8,24
216667,342,1429
216694,554,1630
216746,69,164
216764,3199,13297
216773,27,71
216782,605,732
216807,437,1429
216825,2772,6571
216852,851,3153
216931,714,2302
217013,234,621
217040,18,53
217059,1255,5182
217077,1822,2691
217086,146,197
217095,200,252
217156,929,6435
217165,533,3180
217235,3190,9525
217244,160,768
217305,1312,2713
217323,367,653
217350,47,67
217402,556,4146
217420,2943,7553
217475,9963,17884
217484,3577,13376
217493,303,1971
217518,597,4391
217536,479,2053
217572,60,115
217581,91,164
217606,190,388
217615,1615,2858
217624,599,672
217633,899,2627
217688,1297,2779
217712,1435,2434
217721,2415,2917
217749,1229,2976
217776,659,1355
217794,72,178
217819,2371,10506
217828,45,98
217837,775,1134
217864,619,2629
217873,1519,1889
217882,2951,16562
217891,136,139
217907,637,1155
217925,281,582
217934,641,1082
217961,310,682
217989,1505,1886
217998,190,533
218025,3930,6002
218043,128,136
218061,2118,3780
218070,402,2754
218113,7090,13965
218140,4576,7698
218159,81,135
218195,83,153
218229,1459,2969
218238,1773,3408
218335,27,204
218353,6342,11949
218399,775,874
218414,485,1042
218441,842,2206
218487,1829,3004
218520,4187,6541
218539,264,1171
218645,1299,3124
218654,723,1828
218663,5593,23363
218672,583,1832
218681,625,1173
218690,354,898
218706,236,473
218724,3297,8746
218733,2299,3265
218742,2472,5427
218821,418,811
218830,3370,6036
218858,3120,4577
218867,35,43
218885,2837,6622
218894,9192,17224
218919,550,630
218955,426,641
218964,2034,5029
218973,308,1619
218991,2967,4849
219000,409,1793
219037,63,156
219046,1381,3974
219055,193,269
219082,679,2872
219091,317,758
219125,72,146
219143,660,1482
219170,1,20
219189,441,1088
219198,323,1036
219204,1389,1995
219213,562,778
219259,669,2967
219277,798,1559
219295,368,746
219338,0,18
219347,530,2101
219356,3020,11118
219374,381,690
219383,339,1194
219392,1,26
219408,113,175
219426,1190,2564
219453,72,221
219471,2212,7690
219480,553,969
219505,73,113
219578,217,556
219587,58,96
219596,169,461
219602,5241,9735
219639,497,1043
219709,929,5289
219718,3170,5222
219790,534,1573
219806,677,1646
219824,4944,10121
219833,523,1237
219879,1778,3648
219888,2283,5322
219903,1393,2670
219921,190,361
219949,493,1240
219976,782,2740
219994,473,859
220002,200,233
220057,1822,3491
220075,5357,12267
220118,306,341
220127,472,995
220163,69,117
220181,355,572
220206,126,316
220215,496,1449
220251,218,448
220279,266,776
220312,161,387
220321,382,566
220394,207,295
220400,2181,4475
220464,79,138
220473,379,777
220491,128,313
220516,901,1963
220552,354,735
220570,39,74
220598,1397,1511
220604,821,1078
220613,1792,4565
220631,936,1851
220640,261,680
220701,599,1072
220710,465,1093
220756,280,323
220765,705,881
220808,197,346
220853,805,1542
220862,8356,17742
220941,1076,1808
220978,10034,22371
221014,341,956
221050,433,1026
221096,1445,4713
221102,380,626
221148,1898,2778
221157,258,277
221184,4787,9880
221236,289,473
221254,66,205
221281,462,536
221290,120,271
221333,200,720
221351,273,1915
221388,148,243
221397,3173,6638
221430,322,333
221485,7485,12538
221494,338,703
221519,265,1511
221582,161,452
221591,308,621
221607,262,315
221616,546,705
221625,456,1400
221634,158,275
221643,4418,10690
221661,1090,2896
221731,508,1107
221740,3583,10159
221759,6257,20916
221768,3450,7326
221795,106,232
221829,82,326
221838,4513,6780
221847,3679,9957
221856,628,794
