pwsid,wsname,yr,mo,population,urb_2013,urb_gpcd,res_2013,res_gpcd,hyd_reg
3910007,"Ripon, City of",2015,2,"14,915", 193 , 166 ,132,113,6
5610007,"Oxnard, City of",2015,2,"203,645", 100 , 92 ,68,63,4
3010030,"San Juan Capistrano, City of",2015,2,"39,047", 120 , 137 ,83,94,4
4010011,"Morro Bay, City of",2015,2,"10,234", 91 , 87 ,62,60,3
2410005,"Los Banos, City of",2015,2,"37,168", 119 , 113 ,119,78,6
3310021,Jurupa Community Service District,2015,2,"118,731", 120 , 129 ,83,89,4
4210011,"Santa Maria, City of",2015,2,"101,103", 87 , 94 ,84,65,3
3010094,Trabuco Canyon Water District,2015,2,"12,700", 122 , 166 ,84,114,4
4110023,"San Bruno, City of",2015,2,"43,798", 69 , 59 ,47,41,2
4410013,Scotts Valley Water District,2015,2,"10,309", 85 , 82 ,59,57,3
3010036,"San Clemente, City of",2015,2,"50,960", 110 , 129 ,71,89,4
4910012,"Sonoma, City of",2015,2,"11,426", 99 , 101 ,68,70,2
4810007,"Vallejo, City of",2015,2,"124,000", 99 , 94 ,68,65,2
4010007,"Paso Robles, City of",2015,2,"30,450", 107 , 102 ,74,71,3
3710002,Vallecitos Water District,2015,2,"94,283", 108 , 131 ,74,90,4
3610003,Apple Valley Ranchos Water Company,2015,2,"78,199", 148 , 125 ,103,87,9
3610015,Crestline Village Water District,2015,2,"7,409", 65 , 65 ,57,45,9
2710017,Marina Coast Water District,2015,2,"31,405", 103 , 89 ,72,62,3
3610073,Hi-Desert Water District,2015,2,"24,601", 83 , 84 ,58,59,10
0110008,"Pleasanton, City of",2015,2,"73,067", 114 , 99 ,80,69,2
4310011,San Jose Water Company,2015,2,"990,000", 89 , 85 ,62,59,2
5110002,"Yuba City, City of",2015,2,"65,372", 144 , 134 ,101,94,5
1310002,"Calexico, City of",2015,2,"40,516", 110 , 118 ,77,82,10
3710034,Otay Water District,2015,2,"217,600", 96 , 108 ,61,76,4
4810004,"Rio Vista, City of",2015,2,"8,324", 139 , 121 ,97,85,5
1510021,"Wasco, City of",2015,2,"21,170", 121 , 100 ,85,70,7
1010018,"Kerman, City of",2015,2,"14,339", 119 , 104 ,95,73,7
2710004,California-American Water Company Monterey District,2015,2,"109,817", 78 , 74 ,55,52,3
5610020,"Thousand Oaks, City of",2015,2,"51,609", 159 , 146 ,111,102,4
3610036,"Chino Hills, City of",2015,2,"74,738", 133 , 127 ,93,89,4
3710018,Rincon Del Diablo Municipal Water District,2015,2,"29,955", 109 , 135 ,76,95,4
1910009,Valley County Water District,2015,2,"69,784", 80 , 77 ,56,54,4
3310007,"Coachella, City of",2015,2,"43,633", 147 , 117 ,103,82,10
1910211,Park Water Company,2015,2,"125,784", 68 , 65 ,48,46,4
4310006,"Morgan Hill, City of",2015,2,"40,807", 105 , 101 ,73,71,3
1910051,"Inglewood, City of",2015,2,"92,386", 89 , 87 ,62,61,4
4910005,"Healdsburg, City of",2015,2,"11,687", 101 , 85 ,76,60,1
4510005,"Redding, City of",2015,2,"91,207", 146 , 128 ,102,90,5
2410001,"Atwater, City of",2015,2,"29,500", 142 , 130 ,,91,6
0910001,El Dorado Irrigation District,2015,2,"128,500", 124 , 101 ,87,71,5
3710001,California-American Water Company San Diego District,2015,2,"95,358", 84 , 83 ,59,58,4
1910098,Golden State Water Company Norwalk,2015,2,"44,466", 81 , 82 ,58,58,4
1910179,"Burbank, City of",2015,2,"106,084", 128 , 120 ,89,85,4
3710029,Olivenhain Municipal Water District,2015,2,"83,368", 136 , 171 ,103,121,4
3710027,Vista Irrigation District,2015,2,"124,746", 96 , 109 ,72,77,4
1910005,Los Angeles County Public Works Waterworks District 40,2015,2,"206,372", 124 , 117 ,96,83,9
5410016,California Water Service Company Visalia,2015,2,"137,337", 119 , 101 ,84,72,7
3310009,Eastern Municipal Water District,2015,2,"535,191", 89 , 105 ,63,74,4
3010079,El Toro Water District,2015,2,"48,628", 120 , 126 ,85,90,4
3910012,"Stockton, City of",2015,2,"177,808", 109 , 79 ,77,56,6
1910042,"Pico Rivera, City of",2015,2,"39,002", 93 , 95 ,84,68,4
1910059,Suburban Water Systems Whittier/La Mirada,2015,2,"115,000", 124 , 127 ,88,91,4
1910155,Golden State Water Company Southwest,2015,2,"271,677", 87 , 85 ,60,61,4
1910205,Suburban Water Systems San Jose Hills,2015,2,"178,500", 109 , 109 ,78,78,4
5610063,Camrosa Water District,2015,2,"35,738", 176 , 161 ,156,116,4
1910204,Los Angeles County Public Works Waterworks District 29,2015,2,"31,040", 219 , 234 ,167,168,4
1510003,California Water Service Company Bakersfield,2015,2,"277,427", 133 , 122 ,96,88,7
4110008,California Water Service Company Mid Peninsula,2015,2,"132,415", 89 , 77 ,58,56,2
3310020,"Indio, City of",2015,2,"81,393", 172 , 171 ,124,123,10
2410009,"Merced, City of",2015,2,"83,400", 151 , 137 ,108,99,6
4110018,"Millbrae, City of",2015,2,"21,532", 84 , 76 ,61,55,2
3610038,"Rialto, City of",2015,2,"54,036", 124 , 131 ,100,94,4
1510001,Arvin Community Services District,2015,2,"19,960", 89 , 86 ,107,62,7
4510014,Bella Vista Water District,2015,2,"16,500", 211 , 150 ,152,108,5
1910092,"Monterey Park, City of",2015,2,"62,183", 111 , 111 ,83,80,3
4110022,"Redwood City, City of",2015,2,"87,696", 78 , 77 ,56,56,2
3910004,"Lodi, City of Public Works Department",2015,2,"63,651", 126 , 108 ,92,78,6
1910142,Golden State Water Company San Dimas,2015,2,"54,872", 127 , 140 ,86,102,4
3710025,Sweetwater Authority,2015,2,"189,970", 79 , 82 ,55,60,4
1510017,Indian Wells Valley Water District,2015,2,"31,120", 131 , 115 ,96,84,9
0110001,Alameda County Water District,2015,2,"340,000", 95 , 84 ,69,61,2
5610016,California Water Service Company Westlake,2015,2,"19,468", 256 , 256 ,187,187,4
3510001,"Hollister, City of",2015,2,"23,021", 91 , 82 ,66,60,3
3010100,"La Palma, City of",2015,2,"15,896", 96 , 94 ,55,68,4
3610050,"Upland, City of",2015,2,"75,670", 176 , 179 ,128,130,4
3710015,"Poway, City of",2015,2,"48,261", 119 , 150 ,87,109,4
4010002,Atascadero Mutual Water Company,2015,2,"30,009", 113 , 90 ,83,66,3
5010013,City of Newman Water Department,2015,2,"10,668", 127 , 94 ,93,69,6
5010010,"Modesto, City of",2015,2,"217,269", 149 , 137 ,109,100,6
1510012,Lamont Public Utility District,2015,2,"19,057", 112 , 115 ,86,84,7
3910005,"Manteca, City of",2015,2,"74,334", 117 , 90 ,86,66,6
0410011,Del Oro Water Company,2015,2,"9,615", 103 , 83 ,100,61,5
3310001,Coachella Valley Water District,2015,2,"301,633", 237 , 257 ,260,190,10
4910017,"Windsor, Town of",2015,2,"27,391", 80 , 70 ,59,52,1
0410002,California Water Service Company Chico District,2015,2,"101,292", 133 , 116 ,99,86,5
1110003,California Water Service Company Willows,2015,2,"7,063", 114 , 84 ,84,62,5
1910026,"Compton, City of",2015,2,"81,963", 75 , 72 ,56,53,4
5410010,"Porterville, City of",2015,2,"61,946", 113 , 97 ,,71,7
5710001,"Davis, City of",2015,2,"65,783", 100 , 83 ,75,62,5
3610001,"Adelanto, City of",2015,2,"32,543", 91 , 77 ,68,57,9
1910034,"Downey, City of",2015,2,"111,931", 109 , 104 ,81,78,4
3010037,Yorba Linda Water District,2015,2,"72,399", 202 , 201 ,151,150,4
2110002,Marin Municipal Water District,2015,2,"188,200", 95 , 87 ,71,65,2
4210006,"Lompoc, City of",2015,2,"39,846", 86 , 83 ,65,62,3
3610037,"Redlands, City of",2015,2,"77,852", 191 , 233 ,143,175,4
3610013,"Loma Linda, City of",2015,2,"23,614", 139 , 159 ,105,119,4
3410009,Fair Oaks Water District,2015,2,"36,226", 138 , 113 ,103,85,5
1910156,"Beverly Hills, City of",2015,2,"42,157", 211 , 216 ,158,162,4
1910090,"Monrovia, City of",2015,2,"37,406", 138 , 138 ,,103,4
1910144,San Gabriel County Water District,2015,2,"45,000", 109 , 104 ,82,78,4
5610011,"Santa Paula, City of",2015,2,"30,009", 119 , 107 ,90,81,4
4910009,"Santa Rosa, City of",2015,2,"170,093", 79 , 69 ,60,52,1
3310049,Western Municipal Water District of Riverside,2015,2,"85,469", 146 , 162 ,111,123,4
4410017,Soquel Creek Water District,2015,2,"37,720", 77 , 65 ,58,49,3
4310001,California Water Service Company Los Altos/Suburban,2015,2,"68,116", 125 , 106 ,95,81,2
1010003,"Clovis, City of",2015,2,"108,227", 107 , 110 ,83,83,7
0710003,Contra Costa Water District,2015,2,"197,536", 94 , 89 ,72,68,2
1910186,California-American Water Company Los Angeles District,2015,2,"102,889", 142 , 138 ,108,105,4
1910004,Golden State Water Company Artesia,2015,2,"47,978", 95 , 91 ,65,69,4
3410013,California-American Water Company Sacramento District,2015,2,"201,418", 99 , 84 ,76,65,5
3010022,Golden State Water Company West Orange,2015,2,"111,904", 105 , 102 ,80,78,4
1910127,"Covina, City of",2015,2,"33,300", 123 , 124 ,95,95,4
3610064,East Valley Water District,2015,2,"97,318", 122 , 131 ,94,101,4
5010028,"Ceres, City of",2015,2,"46,463", 93 , 89 ,71,69,6
1910083,"Manhattan Beach, City of",2015,2,"35,726", 116 , 112 ,89,86,4
1910003,"Arcadia, City of",2015,2,"57,639", 186 , 196 ,143,151,4
1910154,"South Pasadena, City of",2015,2,"25,899", 127 , 115 ,98,89,4
4210007,Montecito Water District,2015,2,"13,500", 283 , 164 ,,126,3
5610059,Golden State Water Company Simi Valley,2015,2,"43,351", 110 , 106 ,90,82,4
3610018,Cucamonga Valley Water District,2015,2,"195,208", 153 , 165 ,99,127,4
3410029,Sacramento County Water Agency,2015,2,"163,226", 122 , 104 ,94,81,5
0710004,"Brentwood, City of",2015,2,"54,741", 103 , 93 ,80,72,6
0710008,"Pittsburg, City of",2015,2,"66,183", 94 , 95 ,73,74,2
2710011,"Soledad, City of",2015,2,"16,729", 89 , 92 ,69,72,3
2910004,Nevada Irrigation District,2015,2,"44,761", 114 , 100 ,89,78,5
1910096,Newhall County Water District,2015,2,"45,036", 137 , 130 ,99,101,4
1910134,California Water Service Company Hermosa/Redondo,2015,2,"95,739", 101 , 102 ,79,80,4
3010101,Santa Margarita Water District,2015,2,"154,272", 111 , 120 ,94,94,4
3610052,Victorville Water District,2015,2,"116,098", 120 , 114 ,105,89,9
4310022,Great Oaks Water Company Incorporated,2015,2,"97,958", 78 , 70 ,61,55,2
5010014,"Oakdale, City of",2015,2,"21,985", 148 , 86 ,118,67,6
1910011,Golden State Water Company Bell-Bell Gardens,2015,2,"57,934", 72 , 70 ,46,55,4
3710021,San Dieguito Water District,2015,2,"37,168", 114 , 139 ,89,109,4
1510031,"Bakersfield, City of",2015,2,"141,581", 142 , 126 ,111,99,7
3710037,Padre Dam Municipal Water District,2015,2,"89,171", 77 , 87 ,73,68,4
1910173,"Whittier, City of",2015,2,"48,200", 114 , 139 ,90,110,4
3010035,Golden State Water Company Placentia,2015,2,"46,543", 110 , 104 ,83,82,4
1910223,Golden State Water Company S San Gabriel,2015,2,"27,656", 78 , 76 ,58,60,4
3310012,Elsinore Valley Municipal Water District,2015,2,"148,253", 106 , 112 ,94,90,4
1310001,"Brawley, City of",2015,2,"27,743", 206 , 96 ,165,77,10
1910048,Castaic Lake Water Agency Santa Clarita Water Division,2015,2,"119,650", 141 , 134 ,113,107,4
1010024,California Water Service Company Selma,2015,2,"24,583", 118 , 101 ,95,81,7
0110003,California Water Service Company Livermore,2015,2,"57,391", 97 , 73 ,77,59,2
4110021,Estero Municipal Improvement District,2015,2,"37,000", 62 , 94 ,50,75,2
1510015,Oildale Mutual Water Company,2015,2,"27,000", 207 , 184 ,166,147,7
1910091,Montebello Land and Water Company,2015,2,"32,219", 85 , 79 ,68,64,4
4910013,Valley of the Moon Water District,2015,2,"23,478", 76 , 67 ,68,54,2
4010001,"Arroyo Grande, City of",2015,2,"17,003", 123 , 118 ,98,95,3
3710010,Helix Water District,2015,2,"270,375", 84 , 90 ,67,72,4
1910102,Palmdale Water District,2015,2,"109,395", 107 , 103 ,85,82,9
3310044,Rubidoux Community Service District,2015,2,"29,900", 122 , 126 ,98,101,4
1910140,Rubio Canyon Land and Water Association,2015,2,"9,600", 125 , 135 ,100,108,4
3310074,Lee Lake Water District,2015,2,"15,543", 114 , 139 ,105,111,4
1910077,Golden State Water Company Florence Graham,2015,2,"65,492", 64 , 63 ,52,51,4
0710007,Diablo Water District,2015,2,"35,646", 92 , 83 ,75,67,6
3610057,Riverside Highland Water Company,2015,2,"14,730", 141 , 147 ,114,119,4
1910043,"Glendale, City of",2015,2,"193,300", 108 , 104 ,87,84,4
5510003,Tuolumne Utilities District,2015,2,"28,997", 99 , 92 ,81,75,6
3410004,Carmichael Water District,2015,2,"38,354", 120 , 103 ,98,85,5
2110003,North Marin Water District,2015,2,"61,294", 86 , 80 ,71,65,2
4910004,Sweetwater Springs Water District,2015,2,"7,703", 82 , 67 ,67,55,1
4810002,"California Water Service Company Dixon, City of",2015,2,"9,818", 87 , 82 ,71,67,5
4010004,"Grover Beach, City of",2015,2,"13,156", 101 , 82 ,,67,3
3010064,"Westminster, City of",2015,2,"93,322", 100 , 100 ,83,83,4
1910047,"Hawthorne, City of",2015,2,"44,459", 78 , 81 ,65,68,4
2910003,Truckee-Donner Public Utilities District,2015,2,"32,776", 90 , 72 ,151,60,8
4110006,California Water Service Company Bear Gulch,2015,2,"58,694", 116 , 113 ,97,94,2
1910239,"Lakewood, City of",2015,2,"59,081", 102 , 95 ,84,78,4
3410018,Rio Linda - Elverta Community Water District,2015,2,"10,936", 119 , 111 ,108,93,5
4110025,North Coast County Water District,2015,2,"39,000", 70 , 64 ,58,54,2
4010026,Nipomo Community Services District,2015,2,"12,148", 131 , 129 ,110,108,3
5010017,"Patterson, City of",2015,2,"20,922", 117 , 95 ,98,80,6
3610044,"City of Big Bear Lake, Dept of Water & Power",2015,2,"25,602", 72 , 58 ,52,49,4
1910143,"San Fernando, City of",2015,2,"23,728", 102 , 98 ,85,82,4
3710023,Santa Fe Irrigation District,2015,2,"19,386", 317 , 410 ,266,345,4
1910062,"La Verne, City of",2015,2,"32,228", 135 , 157 ,115,133,4
4110001,Mid-Peninsula Water District,2015,2,"26,030", 89 , 82 ,75,70,2
3410008,Elk Grove Water Service,2015,2,"44,084", 91 , 71 ,111,60,5
2010002,"Madera, City of",2015,2,"63,008", 91 , 89 ,77,75,6
3610024,"Hesperia Water District, City of",2015,2,"91,627", 86 , 96 ,73,81,9
3010073,Moulton Niguel Water District,2015,2,"172,068", 122 , 115 ,104,98,4
1910234,Walnut Valley Water District,2015,2,"113,236", 115 , 123 ,98,105,4
3610049,Twentynine Palms Water District,2015,2,"18,795", 103 , 86 ,88,73,10
1910044,"Glendora, City of",2015,2,"48,200", 161 , 145 ,136,123,4
3410011,"Galt, City of",2015,2,"24,289", 124 , 101 ,105,86,6
3110001,North Tahoe Public Utility District,2015,2,"7,500", 121 , 93 ,103,79,8
1610004,"Corcoran, City of",2015,2,"24,154", 165 , 135 ,141,115,7
3610121,San Bernardino County Service Area 64,2015,2,"12,514", 136 , 112 ,116,96,9
3610005,Lake Arrowhead Community Services District,2015,2,"26,848", 25 , 28 ,45,24,9
1910013,Bellflower-Somerset Mutual Water Company,2015,2,"46,300", 94 , 90 ,81,77,4
0710009,Discovery Bay Community Services District,2015,2,"14,646", 137 , 110 ,123,94,6
1910157,Sunny Slope Water Company,2015,2,"30,611", 98 , 90 ,85,79,4
1910104,California Water Service Company Palos Verdes,2015,2,"69,869", 199 , 202 ,173,176,4
0710001,"Antioch, City of",2015,2,"106,455", 100 , 90 ,87,78,6
1910019,"Cerritos, City of",2015,2,"49,041", 126 , 120 ,110,104,4
1910063,Lincoln Avenue Water Company,2015,2,"16,126", 92 , 93 ,74,81,4
3310051,Myoma Dunes Mutual Water Company,2015,2,"8,948", 309 , 300 ,462,261,10
4110016,Hillsborough Town of,2015,2,"10,850", 187 , 150 ,,132,2
0410007,Paradise Irrigation District,2015,2,"26,032", 104 , 100 ,100,88,5
5610009,"Port Hueneme, City of",2015,2,"21,555", 77 , 72 ,,64,4
1010001,Bakman Water Company,2015,2,"13,960", 129 , 143 ,114,126,7
3010046,"Tustin, City of",2015,2,"67,700", 120 , 124 ,106,110,4
0110009,Dublin San Ramon Services District,2015,2,"77,868", 87 , 73 ,77,64,2
0710002,Golden State Water Company Bay Point,2015,2,"22,258", 64 , 59 ,49,52,2
3610025,Joshua Basin Water District,2015,2,"9,514", 111 , 102 ,98,91,10
4210016,Golden State Water Company Orcutt,2015,2,"31,872", 150 , 143 ,145,127,3
3410016,Orange Vale Water Company,2015,2,"15,200", 126 , 111 ,113,99,5
3610055,Yucaipa Valley Water District,2015,2,"44,446", 120 , 153 ,107,136,4
5610043,Triunfo Sanitation District / Oak Park Water Service,2015,2,"12,200", 146 , 135 ,130,120,4
1910225,Las Virgenes Municipal Water District,2015,2,"75,384", 199 , 195 ,177,173,4
2710008,"Greenfield, City of",2015,2,"17,898", 73 , 70 ,65,62,3
5610014,Golden State Water Company Ojai,2015,2,"7,188", 179 , 151 ,113,135,4
1910212,Golden State Water Company S Arcadia,2015,2,"26,827", 91 , 90 ,72,80,4
5410003,"Exeter, City of",2015,2,"10,334", 111 , 104 ,100,94,7
1910152,"South Gate, City of",2015,2,"95,115", 73 , 60 ,66,54,4
3310016,"Hemet, City of",2015,2,"23,537", 125 , 124 ,113,112,4
4110024,"East Palo Alto, City of",2015,2,"29,143", 38 , 35 ,58,32,2
4110027,Westborough Water District,2015,2,"14,050", 54 , 53 ,49,48,2
3110004,"Lincoln, City of",2015,2,"45,206", 112 , 95 ,93,85,5
1210016,McKinleyville Community Service District,2015,2,"16,900", 71 , 63 ,64,57,1
5810002,Linda County Water District,2015,2,"18,808", 108 , 101 ,87,91,5
3710013,Lakeside Water District,2015,2,"35,500", 68 , 79 ,65,71,4
1910073,"Lomita, City of",2015,2,"20,463", 89 , 84 ,80,76,4
3310032,"San Jacinto, City of",2015,2,"15,200", 142 , 125 ,128,112,4
1910191,"Norwalk, City of",2015,2,"18,361", 95 , 93 ,86,84,4
1010019,"Kingsburg, City of",2015,2,"11,685", 153 , 122 ,138,110,7
5010018,"Riverbank, City of",2015,2,"23,298", 75 , 68 ,68,61,6
2710001,Alco Water Service,2015,2,"29,179", 119 , 110 ,109,101,3
1510018,Rosamond Community Service District,2015,2,"17,700", 88 , 85 ,81,78,9
1010026,Pinedale County Water District,2015,2,"8,495", 164 , 142 ,151,131,6
1510033,California Water Service Company Kern River Valley,2015,2,"5,583", 92 , 81 ,84,75,7
1910101,Orchard Dale Water District,2015,2,"25,605", 61 , 61 ,74,56,4
3610008,Big Bear City Community Services District,2015,2,"12,411", 59 , 52 ,70,47,4
3410031,California Water Service Company Antelope Valley,2015,2,"3,389", 117 , 108 ,107,100,5
4810008,"Vacaville, City of",2015,2,"86,893", 121 , 99 ,112,92,5
3010062,"Garden Grove, City of",2015,2,"177,020", 105 , 105 ,98,98,4
1910166,Valley Water Company,2015,2,"9,900", 246 , 245 ,231,230,4
3410006,Citrus Heights Water District,2015,2,"67,333", 105 , 88 ,100,84,5
3410021,San Juan Water District,2015,2,"38,943", 134 , 100 ,121,95,5
5810003,Olivehurst Public Utility District,2015,2,"19,509", 96 , 86 ,91,82,5
4110013,"Daly City, City of",2015,2,"105,019", 68 , 41 ,66,39,2
0510002,Calaveras County Water District,2015,2,"31,750", 92 , 81 ,88,78,6
4910018,California Water Service Company Redwood Valley,2015,2,"3,600", 94 , 61 ,90,59,1
1510029,Vaughn Water Company,2015,2,"27,421", 205 , 182 ,197,175,7
3510003,Sunnyslope County Water District,2015,2,"19,005", 74 , 66 ,71,63,3
2410010,Winton Water & Sanitary District,2015,2,"8,500", 112 , 102 ,107,98,6
1910148,"Sierra Madre, City of",2015,2,"10,971", 172 , 146 ,167,141,4
3610127,San Bernardino County Service Area 70,2015,2,"10,174", 93 , 98 ,91,95,10
3010047,Golden State Water Company Cowan Heights,2015,2,"7,254", 239 , 259 ,314,253,4
3010068,East Orange County Water District,2015,2,"3,247", 203 , 190 ,199,187,4
1910130,Quartz Hill Water District,2015,2,"20,352", 120 , 116 ,139,114,9
2010008,Madera County,2015,2,"11,853", 136 , 107 ,,105,6
5510009,Groveland Community Services District,2015,2,"3,400", 75 , 65 ,74,64,6
1310006,"Imperial, City of",2015,2,"18,022", 101 , 105 ,101,105,10
1210006,"Fortuna, City of",2015,2,"11,926", 89 , 78 ,89,78,1
1210009,Humboldt Community Service District,2015,2,"20,032", 97 , 102 ,97,102,1
4810005,Suisun-Solano Water Authority,2015,2,"28,549", 95 , 79 ,79,79,2
1910049,"Huntington Park, City of",2015,2,"64,219", 63 , 59 ,63,59,4
1910079,"Lynwood, City of",2015,2,"65,965", 70 , 70 ,70,70,4
3710019,Ramona Municipal Water District,2015,2,"33,600", 82 , 103 ,82,103,4
3610120,Phelan Pinon Hills Community Services District,2015,2,"25,160", 69 , 79 ,69,79,8
3010082,Serrano Water District,2015,2,"6,641", 336 , 310 ,336,310,4
0910013,Georgetown Divide Public Utilities District,2015,2,"9,499", 98 , 93 ,98,93,5
1910125,Pico Water District,2015,2,"24,100", 100 , 97 ,100,97,4
3410023,Fruitridge Vista Water Company,2015,2,"21,441", 98 , 113 ,98,113,5
1810001,"Susanville, City of",2015,2,"8,978", 108 , 102 ,108,102,8
0410006,South Feather Water and Power Agency,2015,2,"16,348", 131 , 133 ,,133,5
5210004,"Red Bluff, City of",2015,2,"14,076", 144 , 125 ,144,125,5
5610002,"Fillmore, City of",2015,2,"15,222", 122 , 102 ,,102,4
1910167,"Vernon, City of",2015,1,122," 59,031 "," 48,799 ",46,35,4
1210013,Humboldt Bay Municipal Water District,2015,1,422," 1,284 "," 1,368 ",103,109,1
2410004,"Livingston, City of",2015,1,"14,894", 340 , 359 ,68,72,6
1510022,West Kern Water District,2015,1,"21,181", 600 , 533 ,132,117,7
1910040,"El Segundo, City of",2015,1,"16,654", 386 , 310 ,97,77,4
1910245,"Santa Fe Springs, City of",2015,1,"18,199", 261 , 235 ,70,63,4
3710026,Valley Center Municipal Water District,2015,1,"25,378", 488 , 466 ,149,142,4
5610024,Casitas Municipal Water District,2015,1,"9,603", 222 , 215 ,173,73,4
4110011,Coastside County Water District,2015,1,"16,668", 78 , 104 ,28,37,2
1910033,California Water Service Company Dominguez,2015,1,"142,202", 163 , 171 ,60,63,4
3710016,Rainbow Municipal Water District,2015,1,"19,611", 698 , 434 ,272,169,4
3710008,Fallbrook Public Utility District,2015,1,"34,894", 311 , 159 ,121,62,4
3910011,"Tracy, City of",2015,1,"85,146", 118 , 92 ,49,39,6
4710011,"Yreka, City of",2015,1,"7,840", 154 , 131 ,64,55,1
5710003,"West Sacramento, City of",2015,1,"50,836", 134 , 128 ,98,54,5
4210001,Carpinteria Valley Water District,2015,1,"14,616", 147 , 160 ,62,68,3
3010002,"Brea, City of",2015,1,"42,397", 209 , 163 ,90,70,4
4110009,California Water Service Company South San Francisco,2015,1,"60,664", 97 , 105 ,43,46,2
3010041,"Seal Beach, City of",2015,1,"24,168", 105 , 88 ,46,39,4
1010007,"Fresno, City of",2015,1,"515,609", 131 , 130 ,60,58,7
4010008,"Pismo Beach, City of",2015,1,"7,705", 169 , 186 ,161,85,3
4310005,"Milpitas, City of",2015,1,"70,817", 106 , 95 ,50,45,2
3310006,"Banning, City of",2015,1,"30,325", 206 , 150 ,103,72,10
1610005,"Lemoore, City of",2015,1,"25,281", 201 , 170 ,98,84,7
3110008,"Roseville, City of",2015,1,"122,946", 110 , 107 ,55,53,5
5410015,"Tulare, City of",2015,1,"59,535", 172 , 178 ,86,89,7
1910194,Rowland Water District,2015,1,"62,106", 143 , 127 ,73,65,4
3610012,"Chino, City of",2015,1,"76,618", 122 , 122 ,,62,4
3410014,"Folsom, City of",2015,1,"60,347", 157 , 168 ,81,87,5
3610014,"Colton, City of",2015,1,"47,612", 140 , 135 ,77,70,4
1910036,California Water Service Company East Los Angeles,2015,1,"160,656", 80 , 76 ,42,40,4
1910213,"Torrance, City of",2015,1,"104,981", 140 , 135 ,74,72,4
1010027,"Reedley, City of",2015,1,"24,194", 103 , 88 ,54,47,7
3410015,Golden State Water Company Cordova,2015,1,"43,767", 166 , 167 ,122,90,5
3710020,"San Diego, City of",2015,1,"1,292,496", 99 , 103 ,53,55,4
3310038,Rancho California Water District,2015,1,"166,543", 181 , 140 ,127,76,4
0410005,California Water Service Company Oroville,2015,1,"10,640", 161 , 110 ,87,59,5
4810001,"Benicia, City of",2015,1,"28,086", 133 , 116 ,112,62,2
4110017,"Menlo Park, City of",2015,1,"16,066", 92 , 128 ,50,69,2
1510020,"Tehachapi, City of",2015,1,"8,923", 111 , 106 ,60,57,7
1910007,"Azusa, City of",2015,1,"110,000", 150 , 123 ,81,67,4
3310031,"Riverside, City of",2015,1,"333,351", 128 , 126 ,79,69,4
3410020,"Sacramento, City of",2015,1,"475,122", 123 , 115 ,68,63,5
4310007,"Mountain View, City of",2015,1,"75,077", 90 , 90 ,50,50,2
3010018,"La Habra, City of Public Works",2015,1,"63,118", 93 , 101 ,51,56,4
2310003,"Ukiah, City of",2015,1,"16,075", 88 , 94 ,48,52,1
5010019,"Turlock, City of",2015,1,"71,181", 154 , 135 ,86,75,6
3010001,"Anaheim, City of",2015,1,"358,549", 121 , 129 ,68,72,4
3110025,Placer County Water Agency,2015,1,"95,717", 120 , 139 ,89,78,5
0310003,Amador Water Agency,2015,1,"23,347", 91 , 77 ,72,43,6
3910001,California Water Service Company Stockton,2015,1,"169,856", 92 , 97 ,51,54,6
1910030,Golden State Water Company Culver City,2015,1,"36,215", 119 , 115 ,67,65,4
2710009,California Water Service Company King City,2015,1,"14,754", 68 , 71 ,39,41,3
4310012,"Santa Clara, City of",2015,1,"118,459", 130 , 113 ,75,65,2
3710006,"Escondido, City of",2015,1,"134,053", 153 , 104 ,89,60,4
0110006,"Hayward, City of",2015,1,"151,037", 92 , 90 ,53,52,2
3910015,"Lathrop, City of",2015,1,"19,831", 129 , 101 ,75,59,6
3010003,"Buena Park, City of",2015,1,"82,364", 141 , 112 ,92,65,4
3810011,San Francisco Public Utilities Commission,2015,1,"846,601", 83 , 77 ,48,45,2
1610003,"Hanford, City of",2015,1,"57,050", 103 , 100 ,,59,7
3310022,Lake Hemet Municipal Water District,2015,1,"52,914", 128 , 127 ,54,75,4
0910002,South Tahoe Public Utilities District,2015,1,"33,124", 134 , 126 ,101,74,8
3610034,"Ontario, City of",2015,1,"166,866", 132 , 130 ,78,77,4
1910039,San Gabriel Valley Water Company,2015,1,"271,817", 90 , 89 ,53,52,4
1010029,"Sanger, City of",2015,1,"25,664", 118 , 122 ,70,72,7
3610043,Golden State Water Company Barstow,2015,1,"31,209", 118 , 104 ,59,62,9
4010007,"Paso Robles, City of",2015,1,"30,450", 100 , 102 ,60,61,3
1310004,"El Centro, City of",2015,1,"44,311", 114 , 112 ,68,67,10
3110010,Tahoe City Public Utilities District,2015,1,"11,360", 71 , 56 ,83,34,8
2610001,Mammoth Community Water District,2015,1,"16,739", 91 , 78 ,185,47,9
4010009,"San Luis Obispo, City of",2015,1,"45,473", 84 , 87 ,50,52,3
3610018,Cucamonga Valley Water District,2015,1,"195,013", 144 , 156 ,93,94,4
1910062,"La Verne, City of",2015,1,"32,228", 134 , 131 ,81,79,4
5610019,"Camarillo, City of",2015,1,"46,639", 132 , 120 ,248,73,4
4310014,"Sunnyvale, City of",2015,1,"147,055", 102 , 85 ,62,52,2
1910038,"El Monte, City of",2015,1,"22,968", 100 , 91 ,,55,4
4210004,Goleta Water District,2015,1,"86,946", 80 , 77 ,49,47,3
